raw	enum	protocol_count	tvl_usd	confidence
Onchain Capital Allocator	ASSET_MANAGEMENT	79	9558153481	HIGH
Indexes	ASSET_MANAGEMENT	83	290834811	HIGH
Treasury Manager	ASSET_MANAGEMENT	6	87	HIGH
Portfolio Tracker	ASSET_MANAGEMENT	3	0	HIGH
Basis Trading	BASIS_TRADING	43	7201062445	HIGH
Bridge	BRIDGES	169	52292667018	HIGH
Canonical Bridge	BRIDGES	88	9861755586	HIGH
Bridge Aggregator	BRIDGES	13	1431	HIGH
Bridge Aggregators	BRIDGES	7	0	HIGH
Restaked BTC	BTCFI	8	1036127621	HIGH
Anchor BTC	BTCFI	9	640330245	HIGH
Decentralized BTC	BTCFI	5	385784483	HIGH
CDP	CDP	231	7506477803	HIGH
CDP Manager	CDP	2	350043924	HIGH
Cross Chain Bridge	CROSS_CHAIN	43	344051253	HIGH
DEX Aggregator	DEX_AGGREGATOR	175	5940041	HIGH
Lending	LENDING	644	50658264350	HIGH
Risk Curators	LENDING	78	9563178233	HIGH
Collateral Markets	LENDING	1	442498730	LOW
NFT Lending	LENDING	32	12677700	HIGH
Secondary Debt Markets	LENDING	1	3922	LOW
Liquid Staking	LIQUID_STAKING	290	51923853535	HIGH
Staking Pool	LIQUID_STAKING	75	14438637635	LOW
MEV	MEV_BLOCK_BUILDING	9	0	HIGH
Block Builders	MEV_BLOCK_BUILDING	4	0	HIGH
Options Vault	OPTIONS_DERIVATIVES	22	62024611	HIGH
Options	OPTIONS_DERIVATIVES	71	34744891	HIGH
Interest Rate Derivatives	OPTIONS_DERIVATIVES	2	9390728	LOW
Exotic Options	OPTIONS_DERIVATIVES	1	5798	HIGH
CEX	OTHER	80	301452160158	HIGH
Chain	OTHER	86	3221778138	HIGH
Privacy	OTHER	40	902807218	HIGH
Payments	OTHER	39	310236130	HIGH
Token Locker	OTHER	19	273381278	HIGH
Launchpad	OTHER	263	241120383	HIGH
CeDeFi	OTHER	10	237827277	HIGH
Crypto Card Issuer	OTHER	21	217140039	HIGH
OTC Marketplace	OTHER	6	165137759	HIGH
Insurance	OTHER	31	122546239	HIGH
Governance Incentives	OTHER	15	87036197	HIGH
DOR	OTHER	1	70072431	HIGH
Decentralized AI	OTHER	4	52480270	HIGH
AI Agents	OTHER	35	34499056	HIGH
NFT Marketplace	OTHER	69	24336604	HIGH
Collateral Management	OTHER	2	11580230	HIGH
Luck Games	OTHER	38	6801266	HIGH
SoFi	OTHER	86	5337950	HIGH
NFT Automated Strategies	OTHER	3	3205119	HIGH
Liquidations	OTHER	3	1819543	HIGH
Interface	OTHER	185	1145786	HIGH
Gamified Mining	OTHER	41	800215	HIGH
Staking Rental	OTHER	2	767730	HIGH
Gaming	OTHER	91	520295	HIGH
DAO Service Provider	OTHER	8	398541	HIGH
Services	OTHER	126	277469	HIGH
DCA Tools	OTHER	7	248461	HIGH
Bug Bounty	OTHER	2	175879	HIGH
Charity Fundraising	OTHER	5	27708	HIGH
Ponzi	OTHER	14	19712	HIGH
Physical TCG	OTHER	19	19503	HIGH
Telegram Bot	OTHER	31	1829	HIGH
Trading App	OTHER	29	1740	HIGH
NftFi	OTHER	3	743	HIGH
Oracle	OTHER	14	0	HIGH
Developer Tools	OTHER	26	0	HIGH
Wallets	OTHER	10	0	HIGH
Foundation	OTHER	9	0	HIGH
Domains	OTHER	14	0	HIGH
Security Extension	OTHER	3	0	HIGH
Coins Tracker	OTHER	2	0	HIGH
NFT Launchpad	OTHER	1	0	HIGH
Volume Boosting	OTHER	3	0	HIGH
Chain Bribes	OTHER	1	0	HIGH
Meme	OTHER	3	0	HIGH
Private Investment Platform	OTHER	1	0	HIGH
Video Infrastructure	OTHER	1	0	HIGH
DePIN	OTHER	9	0	HIGH
Mining Pools	OTHER	1	0	HIGH
Identity & Reputation	OTHER	4	0	HIGH
Derivatives	PERPETUALS	446	2053737031	HIGH
Prediction Market	PREDICTION_MARKETS	121	415182278	HIGH
Restaking	RESTAKING	14	10021765547	HIGH
Liquid Restaking	RESTAKING	29	1427199157	HIGH
RWA	RWA	175	28355526776	HIGH
Dexs	SPOT_AMM_DEX	2092	13276629918	HIGH
Stablecoin Wrapper	STABLECOINS	6	221237016	HIGH
Dual-Token Stablecoin	STABLECOINS	8	200493657	HIGH
Stablecoin Issuer	STABLECOINS	6	186201679	HIGH
Algo-Stables	STABLECOINS	123	54333560	HIGH
Reserve Currency	STABLECOINS	137	10148940	HIGH
Partially Algorithmic Stablecoin	STABLECOINS	7	1969995	HIGH
Synthetics	SYNTHETIC_DOLLAR	43	70259687	LOW
Uncollateralized Lending	UNCOLLATERALIZED_LENDING	18	292442412	HIGH
Yield	YIELD	672	4529436615	HIGH
Yield Aggregator	YIELD	230	1355255491	HIGH
Farm	YIELD	246	719040503	HIGH
Leveraged Farming	YIELD	45	403523885	HIGH
Liquidity Manager	YIELD	67	272025122	HIGH
Yield Lottery	YIELD	15	12708976	HIGH
Liquidity Automation	YIELD	7	643412	HIGH
ve-Incentive Automator	YIELD	1	36	HIGH
